Qty;Value;Device;Package;Parts;Description;DNP;MFR-PN;PARTNO
4;;PINHD-1X4;1X04;JP14, JP15, JP16, JP17;PIN HEADER;T;;conn-th-0.1in-4-1
1;;PINHD-1X6;1X06;JP20;PIN HEADER;T;;conn-th-0.1in-6-1
2;;PINHD-1X7;1X07;JP21, JP22;PIN HEADER;T;;conn-th-0.1in-7-1
8;0.1uF;CAP0603-CAP;0603-CAP;C1, C2, C3, C6, C7, C9, C10, C12;Capacitor;;;
4;10uF;CAP_POL1206;EIA3216;C4, C5, C8, C11;Capacitor Polarized;;;
8;1K;RESISTOR0603-RES;0603-RES;R1, R2, R3, R4, R5, R6, R7, R8;Resistor;;;
4;CONN_3-1;CONN_3-1;SIP1X3_100;J1, J2, J3, J4;;;;conn-th-0.1in-3-2-ra
4;CONN_3-1;CONN_3-1;SIP1X3_100;J5, J6, J7, J8;;T;;conn-th-0.1in-3-2-ra
4;FT232RLSSOP;FT232RLSSOP;SSOP28DB;U1, U2, U3, U5;USB UART;;;
4;Green;LED0603;LED-0603;LED2, LED4, LED6, LED8;LEDs;;;
4;Red;LED0603;LED-0603;LED1, LED3, LED5, LED7;LEDs;;;
4;USB-SMD-NS;USB-SMD-NS;USB-MINIB-NOSTOP;X1, X2, X3, X4;USB Connectors;;;
